epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.04733385145664215,0.023891614750027657,0.060321457767658106,0.5932750475268616,0.015107885393539697,0.42491313771961164
2,0.024277064949274063,0.021721769124269485,0.09100953972272122,0.7050290873931212,0.10979400815948483,0.67893032414658
3,0.02637898363173008,0.023896800354123116,0.12132812119067485,0.7787667925819243,0.21987481089159952,0.7733283993097732
4,0.01735745556652546,0.012372714467346668,0.17002052814935031,0.8357145357099536,0.23935492950847892,0.7892020822609445
5,0.015920866280794144,0.013301403261721134,0.20275139673935333,0.8622163299756128,0.21851649432890158,0.8001680976787019
6,0.012377690523862839,0.017558719962835312,0.23376019966428302,0.8836425111842137,0.3191395243334835,0.811899503629675
7,0.01621791161596775,0.015073928982019424,0.2740952485579785,0.8996667025856673,0.28663690339280723,0.8240699486538315
8,0.027970878407359123,0.014919061213731766,0.2913828433872237,0.9064285866864603,0.28354305153743375,0.8042397740353204
9,0.02385706640779972,0.007577139884233475,0.3021100366303546,0.9149975626186196,0.3349902392768324,0.7971235184446304
10,0.01344537828117609,0.010484457947313786,0.32119352970473314,0.920334567046002,0.3463569000282725,0.8270784706066905
11,0.010599343106150627,0.017338452860713005,0.3286319374136653,0.9222050471936397,0.3551113973359187,0.8296708645834497
12,0.011895760893821716,0.016737710684537888,0.34610850786254815,0.9249985637999382,0.35864648327382714,0.8190633198595256
13,0.008897056803107262,0.010875921696424484,0.35487673080187965,0.9267655822894062,0.35554170802688195,0.8257956550775994
14,0.010082749649882317,0.006664691027253866,0.35858647888577816,0.9279786810053413,0.34897775803162395,0.8346106252839334
15,0.010208342224359512,0.0175984725356102,0.36326375907986447,0.9285448129899037,0.36886627754127105,0.8387883942170759
16,0.011952790431678295,0.008158243261277676,0.3694404997751976,0.9322201346189165,0.3683081584533633,0.8419366543683228
17,0.011866058222949505,0.0074044642969965935,0.37566349338383725,0.9320477110414117,0.3547353284113109,0.8351227907783415
18,0.008787443861365318,0.007875165902078152,0.3813323534162771,0.9351989220778392,0.3666449250568489,0.8360213956041672
19,0.00912210252135992,1.9833635091781616,0.3833455333501632,0.9337030857646396,0.16227355502822854,0.7660272142472727
20,0.012742535211145878,0.007571298163384199,0.37768486315077476,0.9296383236487473,0.27459081809463776,0.7944952903293834
21,0.009195785969495773,0.01091131754219532,0.3873621284589555,0.9253843878206789,0.28122481093516544,0.8297156052256197
22,0.010328620672225952,0.010142319835722446,0.3800874565025007,0.9287643101564543,0.35466105819942445,0.8337348890086924
23,0.02006760612130165,0.005238217301666737,0.3839890597332889,0.9309124493558266,0.34625501996461155,0.8325690771526667
24,0.007007610518485308,0.005663554649800062,0.3948862120187941,0.9356293196512125,0.3715370655007174,0.8291755132497372
25,0.009782156907022,0.007706298027187586,0.3927174008274378,0.93616902587125,0.36694262428227026,0.8265734552984332
